Sample_n,Date,Time,Year,Month,Day,Location,Country,Site,Sample type,Coordinate 1,Coordinate 2,T [C],pH,EC [microS/cm],TDS    [mg/L],NO3-N [mg/L]  ,PO4-P [mg/L]
367,23-09-20,10:50,2020,9,23,Kosozen village (Ulken Almaty River),KZ,KZ-8,streamwater,43.56118,76.90803,13,8.2,470,230,2.4,0.004
375,08-10-20,10:22,2020,10,8,Kosozen village (Ulken Almaty River),KZ,KZ-8,streamwater,43.56118,76.90803,6,8.2,470,230,2.46,0
389,23-10-20,10:35,2020,10,23,Kosozen village (Ulken Almaty River),KZ,KZ-8,streamwater,43.56118,76.90803,7,8.1,500,240,2.74,0
397,04-11-20,10:25,2020,11,4,Kosozen village (Ulken Almaty River),KZ,KZ-8,streamwater,43.56118,76.90803,5,8.1,570,280,3.36,0.003
408,19-11-20,11:57,2020,11,19,Kosozen village (Ulken Almaty River),KZ,KZ-8,streamwater,43.56118,76.90803,0,8.2,550,270,2.76,0
419,03-12-20,11:48,2020,12,3,Kosozen village (Ulken Almaty River),KZ,KZ-8,streamwater,43.56118,76.90803,0,8.3,690,340,4.61,0.001
433,15-12-20,11:40,2020,12,15,Kosozen village (Ulken Almaty River),KZ,KZ-8,streamwater,43.56118,76.90803,0,8.3,660,330,4.57,0
444,30-12-20,10:59,2020,12,30,Kosozen village (Ulken Almaty River),KZ,KZ-8,streamwater,43.56118,76.90803,0,8.1,690,340,5.15,0
455,15-01-21,11:35,2021,1,15,Kosozen village (Ulken Almaty River),KZ,KZ-8,streamwater,43.56118,76.90803,,7.8,660,330,5.44,0
122,03-06-19,19:10,2019,6,3,"Chirchik river, near inflow to Syrdarya river",UZ,UZ-10,streamwater,40.900364,68.709182,23,8,500,250,2.03,0.06
130,16-06-19,19:10,2019,6,16,"Chirchik river, near inflow to Syrdarya river",UZ,UZ-10,streamwater,40.900364,68.709182,25,8.1,810,400,2.57,2.67
139,02-07-19,19:10,2019,7,2,"Chirchik river, near inflow to Syrdarya river",UZ,UZ-10,streamwater,40.900364,68.709182,27,8,800,390,1.92,0.02
7,31-07-19,08:10,2019,7,31,"Chirchik river, near inflow to Syrdarya river",UZ,UZ-10,streamwater,40.900364,68.709182,27,8,880,430,0.84,0.07
15,15-08-19,,2019,8,15,"Chirchik river, near inflow to Syrdarya river",UZ,UZ-10,streamwater,40.900364,68.709182,28,7.8, ,500,0.96,0.01
24,05-09-19,09:40,2019,9,5,"Chirchik river, near inflow to Syrdarya river",UZ,UZ-10,streamwater,40.900364,68.709182,23,8,990,480,2.26,
35,24-09-19,18:10,2019,9,24,"Chirchik river, near inflow to Syrdarya river",UZ,UZ-10,streamwater,40.900364,68.709182,23,7.9,870,440,3.06,0.13
47,21-11-19,17:40,2019,11,21,"Chirchik river, near inflow to Syrdarya river",UZ,UZ-10,streamwater,40.900364,68.709182,12,8,860,420,3.93,
56,16-12-19,17:40,2019,12,16,"Chirchik river, near inflow to Syrdarya river",UZ,UZ-10,streamwater,40.900364,68.709182,13,8.1,1060,530,2.61,
62,02-02-20,17:40,2020,2,2,"Chirchik river, near inflow to Syrdarya river",UZ,UZ-10,streamwater,40.900364,68.709182,10,8.3,660,330,3.53,
71,06-06-20,17:30,2020,6,6,"Chirchik river, near inflow to Syrdarya river",UZ,UZ-10,streamwater,40.900364,68.709182,26,7.9,900,440,1.87,0.11
80,19-06-20,17:00,2020,6,19,"Chirchik river, near inflow to Syrdarya river",UZ,UZ-10,streamwater,40.900364,68.709182,27,8.3,1060,520,1.61,0.053
90,04-07-20,17:00,2020,7,4,"Chirchik river, near inflow to Syrdarya river",UZ,UZ-10,streamwater,40.900364,68.709182,26,8.1,1140,560,0.481,0.052
98,03-08-20,08:15,2020,8,3,"Chirchik river, near inflow to Syrdarya river",UZ,UZ-10,streamwater,40.900364,68.709182,21,8.1,700,340,1.63,0.001
120,20-09-20,20:40,2020,9,20,"Chirchik river, near inflow to Syrdarya river",UZ,UZ-10,streamwater,40.900364,68.709182,18,8,560,280,1.86,0.074
