Sample_ID ,Date,Time,Year,Month,Day,Location,Site,Sample type,Period,Country,"Lat, N","Lon, E",T [C],pH,EC [microS/cm],TDS [mg/L],NO3-N [mg/L],PO4-P [mg/L],HCO3 [mg/L],Cl [mg/L],SO4[mg/L],F [mg/L],Si [mg/L],Ca [mg/l],Mg [mg/L],Na [mg/l],K [mg/L],Fe [ug/L],Al [ug/L],As [ug/L],Ba [ug/L],Cd [ug/L],Co [ug/L],Cr [ug/L],Cu [ug/L],Li [ug/L],Mn [ug/L],Ni [ug/L],Pb [ug/L],Sr [ug/L],Zn [ug/L]
56,31-07-19,08:10,2019,7,31,Chirchik river near inflow to Syrdarya river,UZ-10,streamwater,HF,UZ,40.900364,68.709182,27,8,880,430,0.836,0.067,,,,,,101.2,41,71.3,3.2,2.71,7.6,6.4,89.6,0.9,0,,,12.7,175.1,0.8,0.9,946.2,0.4
57,05-08-19,14:30,2019,8,5,Alplager,KG-1,streamwater,HF,KG,42.565388,74.479548,11,7.3,40,20,0.552,0.013,,,,,,9.5,0.4,1,0.8,2.26,19.5,0.7,2.2,0.3,0.1,,,0.6,6.7,,1.5,21.7,0.2
59,05-08-19,15:15,2019,8,5,Baityk,KG-3,streamwater,HF,KG,42.647609,74.495405,13,7.6,50,20,0.832,0.008,,,,,,11.2,0.7,1.3,0.8,89.16,113.6,0.6,5.1,0.1,0,0.2,0.8,0.9,7.8,,1.8,32.2,0.4
60,05-08-19,16:40,2019,8,5,Zarechnoe village,KG-4,streamwater,HF,KG,42.758631,74.571057,19,7.7,90,40,0.584,0.012,,,,,,16.2,1.1,2,1.2,17.64,47.2,0.4,11.4,,0,,0.5,1.3,1.2,,1.3,53,0.1
61,05-08-19,17:30,2019,8,5,Bridge,KG-5,streamwater,HF,KG,42.950108,74.592261,25,7.8,550,270,0.868,0.107,,,,,,77.7,16.9,28,4.1,9.89,14.4,5.1,79.5,2.3,0.1,1,2.6,10.3,18.43,0.59,2.99,609.67,2.83
68,19-08-19,13:00,2019,8,19,"Kishi Almaty river, upstream ",KZ-1,streamwater,HF,KZ,43.17401,77.01527,9,8.1,140,70,0.941,0.01,,,,,,24.8,2.6,3.1,1,5.72,8.5,,6,0.3,0,,2.4,1.4,1.2,0.45,,84.52,3.1
69,19-08-19,13:33,2019,8,19,"Kishi Almaty river, downtown Almaty city",KZ-2,streamwater,HF,KZ,43.25161,76.95948,11,8.2,170,80,0.918,0.008,,,,,,27.1,3.1,3.7,1,2.23,7.6,2.4,8.4,2.1,0.1,0.6,3.7,2.2,3.17,,4.31,106.25,2.65
70,19-08-19,14:22,2019,8,19,Otegen Batyr village,KZ-3,streamwater,HF,KZ,43.4063,77.01521,18,8.2,590,290,3.18,0.019,,,,,,63.6,26.7,36.4,2.6,3.08,5.8,,44.9,2.4,0.1,1.9,2.3,17.3,5.62,1.18,6.65,807.65,2.16
72,20-08-19,08:25,2019,8,20,First President Park,KZ-5,streamwater,HF,KZ,43.19164,76.89008,8,8.2,130,60,0.678,0.011,,,,,,24.4,2.5,3,1,1.87,11.7,0.1,27.1,1,0.1,0.2,2.6,1.6,2.42,0.18,3.06,114.36,1.73
73,20-08-19,09:05,2019,8,20,Darhan microdistrict,KZ-6,streamwater,HF,KZ,43.31162,76.86975,13,8.2,170,80,0.815,0.01,,,,,,28.3,2.9,5.9,1,1.96,15.3,,28.6,0.7,0,0.2,2,2.2,2.69,0.01,2.4,162.6,3.1
74,20-08-19,09:55,2019,8,20,Kazcik,KZ-7,streamwater,HF,KZ,43.39003,76.88078,15,8.2,200,100,0.813,0.002,,,,,,31.3,4.1,7.5,1.3,1.72,9,2.8,31.3,0.7,0.2,0.1,2.6,2.5,11.65,0.14,2.48,184.34,1.46
75,20-08-19,10:56,2019,8,20,Kosozen village (Ulken Almaty River),KZ-8,streamwater,HF,KZ,43.56118,76.90803,18,8.2,280,130,1.5,0.005,,,,,,38,8.1,15.2,1.7,0.97,6,2.5,31.8,0.6,0.1,0.4,1.2,4.2,1.17,0.58,2.77,295.4,1.81
76,20-08-19,11:17,2019,8,20,Kaskelen river,KZ-9,streamwater,HF,KZ,43.56196,76.89783,18,8.3,460,220,1.36,0.022,,,,,,49.5,15.9,33.2,2.4,0.84,6.4,1.6,35.8,0.7,0,1.4,1.5,7.9,3.82,0.23,3.09,399.28,1.26
77,20-08-19,12:40,2019,8,20,Arna village,KZ-10,streamwater,HF,KZ,43.7784,77.13354,21,8.3,370,180,1.65,0.041,,,,,,48.1,15.7,41,2.2,2.89,7,3.2,34.4,0.6,0.1,2.1,1.2,8.1,2.8,0.76,2.86,467.25,1.19
84,29-10-19,11:05,2019,10,29,"Kishi Almaty river, upstream ",KZ-1,streamwater,LF,KZ,43.17401,77.01527,3,8.1,210,100,0.886,0.01,,6.06,9.32,0.69,,33.5,3.6,5,0.9,2.82,5.5,,8.62,0.23,,0.31,,1.69,1.09,1.88,0.14,123.59,0.42
85,29-10-19,11:41,2019,10,29,"Kishi Almaty river, downtown Almaty city",KZ-2,streamwater,LF,KZ,43.25161,76.95948,5,8.2,250,120,1.01,0.012,,6.01,11.37,0.64,,40.4,5.1,6.2,1,15.15,5.62,,10.9,0.09,,0.52,,2.13,1.59,2.45,0.89,163.41,1.67
86,29-10-19,12:37,2019,10,29,Otegen Batyr village,KZ-3,streamwater,LF,KZ,43.4063,77.01521,8,8.4,730,360,3.94,0.033,,26.1,88,0.83,,78.3,29.6,43.1,2.7,5.86,6.8,0.82,40.58,0.5,,2.26,,15.76,10.57,1.13,0.64,771.67,0.82
89,28-10-19,08:45,2019,10,28,First President Park,KZ-5,streamwater,LF,KZ,43.19164,76.89008,4,8.1,180,90,0.712,0.015,,1.15,10.77,0.55,,29.5,3,4.3,1.2,7.85,7.48,0.69,25.41,,,0.35,,1.91,1.04,5.11,0.51,120.32,0.33
90,28-10-19,09:44,2019,10,28,Darhan microdistrict,KZ-6,streamwater,LF,KZ,43.31162,76.86975,6,8,310,150,1.34,0.012,,23.4,15.95,0.58,,42.1,4.4,13.3,1.5,5.05,2.81,,35.15,,0.09,0.59,,3.57,2.92,1.34,0.66,290.44,0.96
91,28-10-19,10:25,2019,10,28,Kazcik,KZ-7,streamwater,LF,KZ,43.39003,76.88078,7,8,400,190,1.86,0.015,,24.8,28.7,0.63,,53.2,8.8,18.7,2.2,4.83,,2.05,58.57,,,0.37,,4.95,70.91,3.17,0.37,373.6,0.78
92,28-10-19,11:20,2019,10,28,Kosozen village (Ulken Almaty River),KZ-8,streamwater,LF,KZ,43.56118,76.90803,8,8.2,500,240,2.99,0.015,,26.6,52.6,0.78,,59.3,14.3,26.6,2.4,5.04,5.71,1.62,65.63,,,0.47,,6.87,1.15,3.53,0.03,510.08,0.43
93,28-10-19,11:37,2019,10,28,Kaskelen river,KZ-9,streamwater,LF,KZ,43.56196,76.89783,9,8.3,600,300,1.84,0.014,,17.8,98.5,0.99,,65.5,20.8,39.3,2.2,2.34,3.32,,38.46,,,1.13,,9.59,5.93,1.82,,501.99,0.12
94,28-10-19,12:55,2019,10,28,Arna village,KZ-10,streamwater,LF,KZ,43.7784,77.13354,10,8.2,690,340,2.42,0.025,,29.2,109,1.21,,66.7,23.1,49.7,2.7,2.24,6.79,1.71,47.77,,0.08,1.49,,10.76,14.16,3.21,0.48,630.98,0.29
96,04-10-19,14:35,2019,10,4,Alplager,KG-1,streamwater,LF,KG,42.565388,74.479548,8,7.3,70,30,0.796,0.342,,0.69,10.02,0.47,,14.1,0.6,2.7,0.7,0.89,,,3.24,,0.08,0.21,,1.26,0.18,0.83,,37.35,0.92
98,04-10-19,15:37,2019,10,4,Baityk,KG-3,streamwater,LF,KG,42.647609,74.495405,10,7.8,100,50,0.376,0.741,,0.88,16.56,0.46,,19.1,1.4,3.3,0.7,12.8,,,9.12,,,0.35,,1.69,0.22,2.92,,68.17,0.2
99,04-10-19,16:20,2019,10,4,Zarechnoe village,KG-4,streamwater,LF,KG,42.758631,74.571057,12,7.6,110,60,0.965,0.323,,0.94,13.2,0.37,,22.3,1.8,3.6,0.9,1.65,7.7,,16.37,,0.08,0.21,,1.99,0.25,0.31,,83.21,0.14
100,04-10-19,18:00,2019,10,4,Bridge,KG-5,streamwater,LF,KG,42.950108,74.592261,15,8.1,330,160,1.96,0.304,,7.84,36.4,0.19,,53.8,11.6,12.6,2.3,20.28,2.06,2.38,74.21,0.54,0.33,1.17,,5.26,0.95,12.38,2.83,386.02,5.48
102,03-11-19,12:40,2019,11,3,"Pskem river, Mulala gaging station",UZ-1,streamwater,LF,UZ,41.771928,70.190761,10,8.4,390,190,,,,0.52,15.91,0.14,,35,6.4,1.3,0.5,0.48,5.49,,54.55,,,0.48,,3.24,0.45,,1.27,186.15,0.66
103,02-11-19,13:25,2019,11,2,"Chirchik river, downstream Charvak reservoir dam",UZ-2,streamwater,LF,UZ,41.630271,69.953152,16,8.3,240,120,,,,1.23,13.46,0.06,,45.6,7.2,2.7,0.7,1.66,5.78,2.37,126.52,,0.07,0.32,,2.83,0.41,0.78,2.64,194.14,0.3
105,02-11-19,14:25,2019,11,2,"Chircik river, downstream Gazalkent town",UZ-4,streamwater,LF,UZ,41.52991,69.68849,15,8.1,620,310,,,,17.2,96.7,0.16,,78.1,21.1,36.9,1.8,1.88,8.76,0.26,119.92,,,1.5,,6.15,3.5,0.82,2.16,552.18,0.38
106,03-11-19,15:00,2019,11,3,"Chirhik river, near Chirchik town",UZ-5,streamwater,LF,UZ,41.430512,69.582846,15,8.2,340,176,,,,6.7,51.3,0.12,,48.8,10.6,14.9,1,15.67,,0.59,72.55,,0.05,0.67,,3.54,3.22,5.32,2.41,272.08,0.59
108,03-11-19,16:10,2019,11,3,"Chirchik river, downstream Tashkent town",UZ-8,streamwater,LF,UZ,41.168056,69.231661,19,7.9,590,290,,,,20.2,60.8,0.11,,100.8,15.9,21,2.3,2.28,8.19,,142.15,,,5.3,,2.55,30.64,0.18,2.06,387.67,0.47
109,03-11-19,18:10,2019,11,3,"Chirchik river, near inflow to Syrdarya river",UZ-10,streamwater,LF,UZ,40.900364,68.709182,19,7.8,1040,520,,,,33.4,215.4,0.3,,106.6,35.2,61.5,4.4,9.16,8.35,,86.8,,0.11,0.81,,9.27,46.16,7.33,1.29,906.08,2.09
110,03-11-19,17:10,2019,11,3,Bore hole near Yangiyul,UZ-9,streamwater,LF,UZ,41.09439,69.05308,14,7.3,380,180,,,,10.08,41.8,0.13,,58.1,10.6,14.7,1,1.3,5.51,,105.57,,0.08,0.42,,2.69,0.4,1.3,2.36,269.82,0.59
111,23-10-19,09:36,2019,10,23,Maykhura river,TJ-1,streamwater,LF,TJ,39.026767,68.784795,7,8.3,210,100,0.503,0.026,,0.85,12.28,0.05,,40.4,7.3,1.4,0.5,0.93,,0.19,12.57,,0.02,0,,1.58,0.48,,1.91,74.05,4.25
112,23-10-19,10:12,2019,10,23,"Varzob river, gauging station",TJ-2,streamwater,LF,TJ,38.872408,68.832686,8,8,180,90,0.594,0.016,,0.99,10.26,0.06,,30.5,4.8,1.9,0.7,6.24,3.85,3.5,14.56,,0.05,0.41,,1.88,0.5,2.06,2.91,78.54,0.88
113,23-10-19,11:06,2019,10,23,Luchob river,TJ-3,streamwater,LF,TJ,38.587298,68.771622,14,8.3,260,130,0.711,0.019,,3.97,25.2,0.12,,43.9,6.6,8.2,1.3,3.36,9.01,,60.34,,0.04,0.18,,4.75,4.44,0.2,1.97,399.15,0.3
114,23-10-19,13:05,2019,10,23,Kafarnihon river,TJ-4,streamwater,LF,TJ,38.493434,68.783604,15,7.5,360,190,2.42,0.029,,4.75,16.89,0.12,,58.5,12,6.3,1.6,1.47,3.25,1.3,53.09,,0.09,0.52,,3.65,2.91,0.61,2.33,364.13,0.7
117,16-03-20,08:18,2020,3,16,Big Almaty Lake,KZ-4,streamwater,LF,KZ,43.05687,76.98622,0,7.8,140,60,0.593,0.005,109.8,0.71,11.24,0.6,2.3,24.82,2.34,3.25,0.75,,3.37,,66.69,1.26,,0.1,3.3,1.11,0.16,,4.69,145.81,0.57
118,16-03-20,09:45,2020,3,16,First President Park,KZ-5,streamwater,LF,KZ,43.19164,76.89008,3,7.9,210,100,0.704,0.005,134.2,2.51,16.5,0.73,3.02,32.19,4.11,7.39,1.72,,2.82,,33.08,0.98,0.06,0.12,4.03,3.24,0.03,,4.78,158.51,4.92
119,16-03-20,10:30,2020,3,16,Darhan microdistrict,KZ-6,streamwater,LF,KZ,43.31162,76.86975,6,7.8,420,210,2.03,0.003,164.8,94.3,49.1,0.68,3.19,58.44,6.68,27.53,2.07,,4.91,,51.56,1.63,,0,3.26,6.63,0.15,,3.75,557.06,74.29
120,16-03-20,11:14,2020,3,16,Kazcik,KZ-7,streamwater,LF,KZ,43.39003,76.88078,9,8,680,340,3.69,0.007,262.4,90.7,101.7,0.75,3.34,81.44,19.63,39.38,3.53,,5.72,,73.49,1.58,,0.42,1.62,9.7,0.1,,2.84,717.85,4.63
121,16-03-20,12:15,2020,3,16,Kosozen village (Ulken Almaty River),KZ-8,streamwater,LF,KZ,43.56118,76.90803,10,8.1,670,330,4.48,0.003,259.3,74.5,156,1.12,3.97,81.79,27.98,57.43,3.38,,5.08,1.31,68.96,1.56,0.04,0.89,,11.59,0.07,,3.18,867.2,37.78
122,16-03-20,12:33,2020,3,16,Kaskelen river,KZ-9,streamwater,LF,KZ,43.56196,76.89783,9,8.2,670,330,2.23,0.048,250.2,26.6,149.9,1.13,4.66,68.94,24.6,49.36,2.31,,5.01,2.17,44.65,1.25,,2.25,1.28,11.21,0.06,,3.07,622.78,22.45
123,16-03-20,14:15,2020,3,16,Arna village,KZ-10,streamwater,LF,KZ,43.7784,77.13354,12,8.2,790,390,3,0.077,280.7,45.1,160.3,1.28,4.75,76.94,29.03,63.19,3,,5.66,4.37,49.72,1.15,,2.3,0,13.48,0.03,,3,823.04,14.83
126,17-03-20,10:47,2020,3,17,"Kishi Almaty river, upstream ",KZ-1,streamwater,LF,KZ,43.17401,77.01527,0.3,7.9,290,140,1.06,0.008,146.4,22.3,11.33,0.61,3.97,42.28,4.77,12.83,1.33,,3.58,2.86,14.41,0.56,,,1.05,2.18,,,2.57,169.53,2.41
127,17-03-20,11:49,2020,3,17,Otegen Batyr village,KZ-3,streamwater,LF,KZ,43.4063,77.01521,9,8.3,890,440,4.67,0.019,408.8,46.5,150,0.95,5.68,89.49,42.75,63.11,3.56,,5.57,,53.48,0.62,0.04,2.44,,23.45,0,,2.44,1115.51,78.15
141,27-07-20,09:30,2020,7,27,"Kishi Almaty river, upstream ",KZ-1,streamwater,HF,KZ,43.17401,77.01527,10,7.8,160,80,0.803,0.015,97.6,4.53,8.3,0.52,2.49,25.41,2.57,3.89,1.04,,3.59,,9.36,0.13,,,,1.34,0.05,,0.65,94.45,23.35
142,27-07-20,10:00,2020,7,27,"Kishi Almaty river, downtown Almaty city",KZ-2,streamwater,HF,KZ,43.25161,76.95948,20,7.6,150,70,1.08,0.129,103.7,8.1,6.88,0.08,1.6,17.11,1.69,8.22,8.07,32.26,30.38,3.53,25.69,0.08,,17.33,12.91,3.19,1.8,0.53,3.96,68.29,129.31
143,27-07-20,11:00,2020,7,27,Otegen Batyr village,KZ-3,streamwater,HF,KZ,43.4063,77.01521,19,8,750,370,3.81,0.034,353.9,28.8,107.7,1.03,5.57,71.1,34.05,47.39,3.29,,5.29,2.23,53.67,0.29,0.12,1.76,0.64,23.12,0.08,0.77,1.05,1114.92,3.38
146,28-07-20,06:21,2020,7,28,Big Almaty Lake,KZ-4,streamwater,HF,KZ,43.05687,76.98622,9,7.7,130,60,0.63,0.007,,0.59,7.57,0.28,1.68,21.23,2.7,2.26,0.71,,4.55,2.66,62.01,,0.06,,1.34,0.8,0.29,,3.01,159.82,27.71
147,28-07-20,07:21,2020,7,28,First President Park,KZ-5,streamwater,HF,KZ,43.19164,76.89008,9,7.6,150,70,0.686,0.012,109.8,1.31,8.22,0.36,2.33,24.52,2.38,3.17,1.04,,1.68,0.54,25.11,,0.12,0,,1.46,0.27,0.01,1.04,107.17,180.63
148,28-07-20,08:02,2020,7,28,Darhan microdistrict,KZ-6,streamwater,HF,KZ,43.31162,76.86975,14,7.8,260,130,1.25,0.006,134.2,25.6,14.34,0.4,2.6,37.68,4.13,12.5,1.5,,3.26,,34.18,,0.11,,3.48,3.42,0.14,,0.52,294.54,25.24
149,28-07-20,08:40,2020,7,28,Kazcik,KZ-7,streamwater,HF,KZ,43.39003,76.88078,18,7.8,530,260,1.72,0.019,207.4,44.9,44.9,0.61,4.34,61.36,12.99,28.88,2.99,350.77,305.93,,70.44,,0.11,0.22,1.15,7.96,18.01,0.55,1.68,515.15,0.89
150,28-07-20,09:40,2020,7,28,Kosozen village (Ulken Almaty River),KZ-8,streamwater,HF,KZ,43.56118,76.90803,21,8.2,1530,760,2.99,0.011,353.9,80.5,504.5,1.45,5.62,101.81,56.49,160.43,4.53,,5.09,1.84,52.43,,0.16,1.9,0.27,19.92,0.12,0.37,0.43,1273.74,15.5
151,28-07-20,10:04,2020,7,28,Kaskelen river,KZ-9,streamwater,HF,KZ,43.56196,76.89783,21,8.1,600,300,1.62,0.017,,21.2,130.7,0.94,4.82,57.29,20.64,43.67,2.36,,4.37,0.44,44.61,,0.04,1.43,0.96,10.87,0.1,0.37,0.87,571.46,27.52
152,28-07-20,11:30,2020,7,28,Arna village,KZ-10,streamwater,HF,KZ,43.7784,77.13354,23,8.2,800,400,2.17,0.02,262.4,45.2,190.8,1.33,5.79,59.86,25.27,75.94,2.37,,5.07,3.14,41.87,0.09,0.03,3.11,,13.08,0.15,,0.53,808.62,47.75
179,05-03-20,,2020,3,5,Alplager,KG-1,streamwater,LF,KG,42.565388,74.479548,8,7.8,150,70,0.699,0.11,37,1.03,15.71,0.97,3.64,15.14,0.73,5.53,0.72,4.47,0.71,,3.61,0.13,0.24,,,3.09,0.07,1.94,0.34,53.25,
181,05-03-20,,2020,3,5,Baityk,KG-3,streamwater,LF,KG,42.647609,74.495405,4,8,150,70,0.898,0.008,61,1.5,18.65,0.72,3.42,23.42,2.12,5.92,0.79,,1.69,1.74,13.86,0.12,0.27,,0.07,3.42,0.03,,0.75,119.98,
182,05-03-20,,2020,3,5,Zarechnoe village,KG-4,streamwater,LF,KG,42.758631,74.571057,7,8,170,80,0.89,0.013,76,1.57,50.8,0.62,3.2,26.62,2.71,6.32,0.62,3.89,,0.61,21.36,2.54,0.05,,11.24,3.5,0.14,,5.34,133.96,2.87
183,05-03-20,,2020,3,5,Bridge,KG-5,streamwater,LF,KG,42.950108,74.592261,11,8,590,290,3.36,0.086,212,34.6,81.1,0.53,4.31,80.28,15.72,29.81,3.46,0.42,0.81,1.06,76.97,3.31,,3.05,7.25,10.06,0.42,,5.32,608.98,3.13
184,28-07-20,,2020,7,28,Alplager,KG-1,streamwater,HF,KG,42.565388,74.479548,9,8.1,50,20,0.842,0.035,30.5,0.44,5.67,0.17,1.26,10.32,0.52,1.21,0.46,8.66,,1.52,3.14,2.15,0.08,,9.68,0.66,0.29,4.39,4.88,28.82,2.08
186,28-07-20,,2020,7,28,Baityk,KG-3,streamwater,HF,KG,42.647609,74.495405,10,7.8,60,30,0.882,0.026,36.6,0.52,7.38,0.22,1.49,11.9,0.79,1.4,0.41,,,0.07,4.65,1.46,0.05,,9,0.86,0.11,,3.65,39.13,0.17
187,28-07-20,,2020,7,28,Zarechnoe village,KG-4,streamwater,HF,KG,42.758631,74.571057,14,7.6,80,40,0.826,0.016,42.7,0.55,16.25,0.28,1.65,14.2,1.03,1.71,0.5,,,0.01,9.59,1.2,0.09,,8.27,1.09,0.13,0.67,3.16,50.89,3.21
188,28-07-20,,2020,7,28,Bridge,KG-5,streamwater,HF,KG,42.950108,74.592261,19,8.1,240,120,1.33,0.018,117.4,5.25,25.26,0.23,2.79,35.15,6.71,7.8,1.2,4.86,0.65,,46.69,1.03,0.06,,7.38,3.29,0.34,2.21,2.69,249.53,
