"item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Sample Nr32","32","Spring on left bank of Chirhik, Hodjakent vil.",1,7,28.8571428571429,19.633547577455,27,28.8571428571429,23.7216,3,57,54,0.111334156507539,-1.72697514434502,7.42078346341438
"Sample Nr33","33","upstream of Almaty city",1,10,75.9,32.4292392071654,77.5,75.5,36.3237,27,128,101,0.001655153506748,-1.4383898308235,10.2550258681076
"Sample Nr34","34","Varzob river, Gauging station",1,7,20,12.9614813968157,20,20,17.7912,2,38,36,0,-1.71428571428571,4.89897948556636
"Sample Nr35","35","well",1,2,33,9.89949493661167,33,33,10.3782,26,40,14,0,-2.75,7
"Sample Nr36","36","Zarechnoe",1,9,25.8888888888889,16.0502682566713,24,25.8888888888889,20.7564,3,49,46,0.042941841918433,-1.66890227255944,5.35008941889044
"Date sampled1","37","AgroBioCenter",2,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled2","38","Alplager",2,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled3","39","Arna village",2,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled4","40","Baityk",2,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled5","41","BAL",2,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled6","42","Bore hole near Yangiyul",2,2,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled7","43","Bridge",2,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled8","44","Chirchik river near inflow to Syrdarya river",2,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled9","45","Chirchik river near Tashkent",2,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled10","46","Chircik river, downstream Charvak reserv. Dam",2,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled11","47","Chircik river, downstream Gazalkent town",2,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled12","48","Chirhik river, downstream Tashkent town",2,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled13","49","Chirhik river, near Chirchik town",2,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled14","50","city, Makataeva-Kopernika str. Crossing",2,10,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled15","51","Corn field",2,1,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled16","52","Darhan",2,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled17","53","FPP",2,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled18","54","Groundwater (springwater)",2,1,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled19","55","Kafarnigan river",2,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled20","56","Kapshagay",2,2,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled21","57","Kaskelen (Kas)",2,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled22","58","Kazcik",2,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled23","59","Kosozen (UA)",2,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled24","60","Lake",2,5,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled25","61","Luchob river",2,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled26","62","Maykhura river",2,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled27","63","Otegen Batyr village",2,10,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled28","64","Potable water well",2,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled29","65","Pskem river, Mulala gaging station",2,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled30","66","Radnik",2,4,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled31","67","South-East water uptake,  drinking water facility",2,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled32","68","Spring on left bank of Chirhik, Hodjakent vil.",2,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled33","69","upstream of Almaty city",2,10,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled34","70","Varzob river, Gauging station",2,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled35","71","well",2,2,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Date sampled36","72","Zarechnoe",2,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time1","73","AgroBioCenter",3,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time2","74","Alplager",3,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time3","75","Arna village",3,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time4","76","Baityk",3,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time5","77","BAL",3,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time6","78","Bore hole near Yangiyul",3,1,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time7","79","Bridge",3,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time8","80","Chirchik river near inflow to Syrdarya river",3,6,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time9","81","Chirchik river near Tashkent",3,6,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time10","82","Chircik river, downstream Charvak reserv. Dam",3,6,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time11","83","Chircik river, downstream Gazalkent town",3,6,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time12","84","Chirhik river, downstream Tashkent town",3,6,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time13","85","Chirhik river, near Chirchik town",3,6,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time14","86","city, Makataeva-Kopernika str. Crossing",3,10,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time15","87","Corn field",3,1,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time16","88","Darhan",3,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time17","89","FPP",3,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time18","90","Groundwater (springwater)",3,1,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time19","91","Kafarnigan river",3,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time20","92","Kapshagay",3,2,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time21","93","Kaskelen (Kas)",3,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time22","94","Kazcik",3,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time23","95","Kosozen (UA)",3,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time24","96","Lake",3,5,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time25","97","Luchob river",3,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time26","98","Maykhura river",3,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time27","99","Otegen Batyr village",3,10,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time28","100","Potable water well",3,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time29","101","Pskem river, Mulala gaging station",3,6,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time30","102","Radnik",3,4,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time31","103","South-East water uptake,  drinking water facility",3,6,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time32","104","Spring on left bank of Chirhik, Hodjakent vil.",3,6,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time33","105","upstream of Almaty city",3,10,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time34","106","Varzob river, Gauging station",3,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time35","107","well",3,2,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Time36","108","Zarechnoe",3,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Month*1","109","AgroBioCenter",4,12,7,1.85864075456917,7,7,2.2239,4,10,6,0,-1.39392890120037,0.53654336998866
"Month*2","110","Alplager",4,9,8.22222222222222,1.39443337755679,8,8.22222222222222,1.4826,6,10,4,-0.101183374335185,-1.54343159486017,0.464811125852264
"Month*3","111","Arna village",4,12,7,1.85864075456917,7,7,2.2239,4,10,6,0,-1.39392890120037,0.53654336998866
"Month*4","112","Baityk",4,9,8.22222222222222,1.39443337755679,8,8.22222222222222,1.4826,6,10,4,-0.101183374335185,-1.54343159486017,0.464811125852264
"Month*5","113","BAL",4,12,7,1.85864075456917,7,7,2.2239,4,10,6,0,-1.39392890120037,0.53654336998866
"Month*6","114","Bore hole near Yangiyul",4,2,8.5,0.707106781186548,8.5,8.5,0.7413,8,9,1,0,-2.75,0.5
"Month*7","115","Bridge",4,9,8.22222222222222,1.39443337755679,8,8.22222222222222,1.4826,6,10,4,-0.101183374335185,-1.54343159486017,0.464811125852264
"Month*8","116","Chirchik river near inflow to Syrdarya river",4,7,7.42857142857143,1.2724180205607,7,7.42857142857143,1.4826,6,9,3,0.135858770361399,-1.87190170185721,0.48092880658867
"Month*9","117","Chirchik river near Tashkent",4,7,7.42857142857143,1.2724180205607,7,7.42857142857143,1.4826,6,9,3,0.135858770361399,-1.87190170185721,0.48092880658867
"Month*10","118","Chircik river, downstream Charvak reserv. Dam",4,7,7.42857142857143,1.2724180205607,7,7.42857142857143,1.4826,6,9,3,0.135858770361399,-1.87190170185721,0.48092880658867
"Month*11","119","Chircik river, downstream Gazalkent town",4,7,7.42857142857143,1.2724180205607,7,7.42857142857143,1.4826,6,9,3,0.135858770361399,-1.87190170185721,0.48092880658867
"Month*12","120","Chirhik river, downstream Tashkent town",4,7,7.42857142857143,1.2724180205607,7,7.42857142857143,1.4826,6,9,3,0.135858770361399,-1.87190170185721,0.48092880658867
"Month*13","121","Chirhik river, near Chirchik town",4,7,7.42857142857143,1.2724180205607,7,7.42857142857143,1.4826,6,9,3,0.135858770361399,-1.87190170185721,0.48092880658867
"Month*14","122","city, Makataeva-Kopernika str. Crossing",4,10,7.5,1.58113883008419,7.5,7.5,2.2239,5,10,5,0,-1.422,0.5
"Month*15","123","Corn field",4,1,7,NA,7,7,0,7,7,0,NA,NA,NA
"Month*16","124","Darhan",4,12,7,1.85864075456917,7,7,2.2239,4,10,6,0,-1.39392890120037,0.53654336998866
"Month*17","125","FPP",4,12,7,1.85864075456917,7,7,2.2239,4,10,6,0,-1.39392890120037,0.53654336998866
"Month*18","126","Groundwater (springwater)",4,1,4,NA,4,4,0,4,4,0,NA,NA,NA
"Month*19","127","Kafarnigan river",4,7,8.71428571428571,1.11269728052837,9,8.71428571428571,1.4826,7,10,3,-0.152372746784103,-1.63603429537496,0.420560041253707
"Month*20","128","Kapshagay",4,2,6.5,2.12132034355964,6.5,6.5,2.2239,5,8,3,0,-2.75,1.5
"Month*21","129","Kaskelen (Kas)",4,12,7,1.85864075456917,7,7,2.2239,4,10,6,0,-1.39392890120037,0.53654336998866
"Month*22","130","Kazcik",4,12,7,1.85864075456917,7,7,2.2239,4,10,6,0,-1.39392890120037,0.53654336998866
"Month*23","131","Kosozen (UA)",4,12,7,1.85864075456917,7,7,2.2239,4,10,6,0,-1.39392890120037,0.53654336998866
"Month*24","132","Lake",4,5,8,1.58113883008419,8,8,1.4826,6,10,4,0,-1.912,0.707106781186548
"Month*25","133","Luchob river",4,7,8.71428571428571,1.11269728052837,9,8.71428571428571,1.4826,7,10,3,-0.152372746784103,-1.63603429537496,0.420560041253707
"Month*26","134","Maykhura river",4,7,8.71428571428571,1.11269728052837,9,8.71428571428571,1.4826,7,10,3,-0.152372746784103,-1.63603429537496,0.420560041253707
"Month*27","135","Otegen Batyr village",4,10,7.5,1.58113883008419,7.5,7.5,2.2239,5,10,5,0,-1.422,0.5
"Month*28","136","Potable water well",4,7,8.71428571428571,1.11269728052837,9,8.71428571428571,1.4826,7,10,3,-0.152372746784103,-1.63603429537496,0.420560041253707
"Month*29","137","Pskem river, Mulala gaging station",4,7,7.42857142857143,1.2724180205607,7,7.42857142857143,1.4826,6,9,3,0.135858770361399,-1.87190170185721,0.48092880658867
"Month*30","138","Radnik",4,4,8.5,1.29099444873581,8.5,8.5,1.4826,7,10,3,0,-2.0775,0.645497224367903
"Month*31","139","South-East water uptake,  drinking water facility",4,7,8.71428571428571,1.11269728052837,9,8.71428571428571,1.4826,7,10,3,-0.152372746784103,-1.63603429537496,0.420560041253707
"Month*32","140","Spring on left bank of Chirhik, Hodjakent vil.",4,7,7.42857142857143,1.2724180205607,7,7.42857142857143,1.4826,6,9,3,0.135858770361399,-1.87190170185721,0.48092880658867
"Month*33","141","upstream of Almaty city",4,10,7.5,1.58113883008419,7.5,7.5,2.2239,5,10,5,0,-1.422,0.5
"Month*34","142","Varzob river, Gauging station",4,7,8.71428571428571,1.11269728052837,9,8.71428571428571,1.4826,7,10,3,-0.152372746784103,-1.63603429537496,0.420560041253707
"Month*35","143","well",4,2,8.5,0.707106781186548,8.5,8.5,0.7413,8,9,1,0,-2.75,0.5
"Month*36","144","Zarechnoe",4,9,8.22222222222222,1.39443337755679,8,8.22222222222222,1.4826,6,10,4,-0.101183374335185,-1.54343159486017,0.464811125852264
"Location*1","145","AgroBioCenter",5,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*2","146","Alplager",5,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*3","147","Arna village",5,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*4","148","Baityk",5,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*5","149","BAL",5,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*6","150","Bore hole near Yangiyul",5,2,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*7","151","Bridge",5,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*8","152","Chirchik river near inflow to Syrdarya river",5,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*9","153","Chirchik river near Tashkent",5,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*10","154","Chircik river, downstream Charvak reserv. Dam",5,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*11","155","Chircik river, downstream Gazalkent town",5,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*12","156","Chirhik river, downstream Tashkent town",5,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*13","157","Chirhik river, near Chirchik town",5,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*14","158","city, Makataeva-Kopernika str. Crossing",5,10,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*15","159","Corn field",5,1,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*16","160","Darhan",5,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*17","161","FPP",5,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*18","162","Groundwater (springwater)",5,1,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*19","163","Kafarnigan river",5,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*20","164","Kapshagay",5,2,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*21","165","Kaskelen (Kas)",5,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*22","166","Kazcik",5,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*23","167","Kosozen (UA)",5,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*24","168","Lake",5,5,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*25","169","Luchob river",5,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*26","170","Maykhura river",5,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*27","171","Otegen Batyr village",5,10,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*28","172","Potable water well",5,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*29","173","Pskem river, Mulala gaging station",5,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*30","174","Radnik",5,4,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*31","175","South-East water uptake,  drinking water facility",5,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*32","176","Spring on left bank of Chirhik, Hodjakent vil.",5,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*33","177","upstream of Almaty city",5,10,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*34","178","Varzob river, Gauging station",5,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*35","179","well",5,2,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Location*36","180","Zarechnoe",5,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*1","181","AgroBioCenter",6,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*2","182","Alplager",6,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*3","183","Arna village",6,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*4","184","Baityk",6,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*5","185","BAL",6,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*6","186","Bore hole near Yangiyul",6,2,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*7","187","Bridge",6,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*8","188","Chirchik river near inflow to Syrdarya river",6,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*9","189","Chirchik river near Tashkent",6,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*10","190","Chircik river, downstream Charvak reserv. Dam",6,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*11","191","Chircik river, downstream Gazalkent town",6,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*12","192","Chirhik river, downstream Tashkent town",6,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*13","193","Chirhik river, near Chirchik town",6,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*14","194","city, Makataeva-Kopernika str. Crossing",6,10,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*15","195","Corn field",6,1,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*16","196","Darhan",6,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*17","197","FPP",6,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*18","198","Groundwater (springwater)",6,1,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*19","199","Kafarnigan river",6,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*20","200","Kapshagay",6,2,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*21","201","Kaskelen (Kas)",6,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*22","202","Kazcik",6,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*23","203","Kosozen (UA)",6,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*24","204","Lake",6,5,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*25","205","Luchob river",6,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*26","206","Maykhura river",6,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*27","207","Otegen Batyr village",6,10,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*28","208","Potable water well",6,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*29","209","Pskem river, Mulala gaging station",6,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*30","210","Radnik",6,4,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*31","211","South-East water uptake,  drinking water facility",6,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*32","212","Spring on left bank of Chirhik, Hodjakent vil.",6,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
